"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",62,41,2,2,"Imported cases only",2,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",78,24,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",79,43,14,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",53,13,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Antigua and Barbuda",46,2,2,2,"Imported cases only",12,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",33,37,9,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 3, 2018","Not yet restricted"
"Armenia",77,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",60,13,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",27,34,17,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",7,22,12,7,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",61,2,2,2,"Imported cases only",4,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",63,46,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",81,2,2,2,"Local transmission",3,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Belarus",71,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",9,25,7,14,"Local transmission",2,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Benin",46,41,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bhutan",46,2,2,2,"Imported cases only",7,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",3,2,2,2,"Imported cases only",3,"Level 2: Exercise Increased Caution","January 6, 2020","Restricted"
"Bosnia and Herzegovina",59,2,2,2,"Local transmission",4,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",91,60,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"Bulgaria",36,10,9,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",90,30,2,2,"Imported cases only",2,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cambodia",15,7,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",75,2,2,2,"Local transmission",3,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
