"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Afghanistan",95,2,2,2,"Imported cases only",8,"Level 4: Do Not Travel","October 22, 2019","Not yet restricted"
"Albania",80,45,7,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","July 10, 2019","Not yet restricted"
"Algeria",115,4,27,3,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Andorra",82,52,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","August 27, 2019","Not yet restricted"
"Antigua and Barbuda",2,2,2,2,"Imported cases only",13,"Level 1: Exercise Normal Precautions","February 26, 2019","Not yet restricted"
"Argentina",106,2,7,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","December 3, 2018","Restricted"
"Armenia",48,29,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 30, 2019","Not yet restricted"
"Aruba",75,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Australia",37,18,16,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 21, 2020","Restricted"
"Austria",14,17,15,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 22, 2019","Restricted"
"Azerbaijan",67,2,3,2,"Imported cases only",3,"Level 3: Reconsider Travel","March 6, 2020","Not yet restricted"
"Bahrain",62,47,3,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Bangladesh",54,35,3,3,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Barbados",17,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","March 7, 2019","Not yet restricted"
"Belarus",72,2,2,2,"Local transmission",3,"Level 1: Exercise Normal Precautions","October 24, 2019","Not yet restricted"
"Belgium",13,25,4,2,"Local transmission",2,"Level 2: Exercise Increased Caution","December 18, 2019","Not yet restricted"
"Benin",17,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","May 23, 2019","Not yet restricted"
"Bermuda",17,2,2,2,"Imported cases only",3,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Bhutan",17,3,2,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 25, 2019","Not yet restricted"
"Bolivia",94,64,2,2,"Imported cases only",2,"Level 2: Exercise Increased Caution","January 6, 2020","Restricted"
"Bosnia and Herzegovina",70,37,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","June 25, 2019","Not yet restricted"
"Brazil",100,60,14,11,"Local transmission",2,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"Bulgaria",86,19,9,3,"Local transmission",2,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",112,10,3,2,"Imported cases only",2,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Cambodia",32,6,2,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",94,55,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",103,61,26,2,"Local transmission",2,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",63,19,3,2,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Chad",2,3,2,2,"Imported cases only",2,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",98,59,2,2,"Local transmission",2,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",40,7,10,5,"Local transmission",2,"Level 4: Do Not Travel","February 2, 2020","Restricted"
